--------- beginning of main
02-13 10:09:33.574  2539  2852 E GlyphScraper:   RAWG candidate: 'Power Rangers: All Stars' score=0.13214287 (required > 0.4)
02-13 10:09:33.577  2539  2852 E GlyphScraper:   rawg -> no match
02-13 10:09:33.577  2539  2852 E GlyphScraper:   No results from any scraper
02-13 10:09:33.783  2539  2873 E GlyphScraper: Scraping: 'Armorines - Project S.W.A.R.M. (U) [!].z64' -> cleaned: 'Armorines Project S W A R M' [n64]
02-13 10:09:33.783  2539  2606 E GlyphScraper: Scraping: 'All-Star Baseball 2000 (U) [!].z64' -> cleaned: 'All Star Baseball 2000' [n64]
02-13 10:09:33.784  2539  2606 D GlyphScraper:     LibRetro trying: https://thumbnails.libretro.com/Nintendo%20-%20Nintendo%2064/Named_Boxarts/All%20Star%20Baseball%202000.png
02-13 10:09:33.784  2539  2620 E GlyphScraper: Scraping: 'All-Star Baseball 2001 (U) [!].z64' -> cleaned: 'All Star Baseball 2001' [n64]
02-13 10:09:33.784  2539  2875 E GlyphScraper: Scraping: 'Army Men - Air Combat (U) [!].z64' -> cleaned: 'Army Men Air Combat' [n64]
02-13 10:09:33.784  2539  2875 D GlyphScraper:     LibRetro trying: https://thumbnails.libretro.com/Nintendo%20-%20Nintendo%2064/Named_Boxarts/Army%20Men%20Air%20Combat.png
02-13 10:09:33.786  2539  2620 D GlyphScraper:     LibRetro trying: https://thumbnails.libretro.com/Nintendo%20-%20Nintendo%2064/Named_Boxarts/All%20Star%20Baseball%202001.png
02-13 10:09:33.786  2539  2873 D GlyphScraper:     LibRetro trying: https://thumbnails.libretro.com/Nintendo%20-%20Nintendo%2064/Named_Boxarts/Armorines%20Project%20S%20W%20A%20R%20M.png
02-13 10:09:33.996  2539  2873 E GlyphScraper:   libretro -> no match, trying keyed APIs...
02-13 10:09:33.997  2539  2606 E GlyphScraper:   libretro -> no match, trying keyed APIs...
02-13 10:09:33.998  2539  2875 E GlyphScraper:   libretro -> no match, trying keyed APIs...
02-13 10:09:34.003  2539  2620 E GlyphScraper:   libretro -> no match, trying keyed APIs...
02-13 10:09:34.004  2539  2874 E GlyphScraper: Scrapers active: [rawg] (Keys: TGDB=false, RAWG=true, Moby=false)
02-13 10:09:34.005  2539  2852 E GlyphScraper: Scrapers active: [rawg] (Keys: TGDB=false, RAWG=true, Moby=false)
02-13 10:09:34.006  2539  2875 E GlyphScraper: Scrapers active: [rawg] (Keys: TGDB=false, RAWG=true, Moby=false)
02-13 10:09:34.007  2539  2879 E GlyphScraper: Scrapers active: [rawg] (Keys: TGDB=false, RAWG=true, Moby=false)
02-13 10:09:34.529  2539  2874 E GlyphScraper:   RAWG candidate: 'Sonic & SEGA All-Stars Racing' score=0.103448264 (required > 0.4)
02-13 10:09:34.529  2539  2874 E GlyphScraper:   RAWG candidate: 'Sonic & All-Stars Racing Transformed' score=0.16666669 (required > 0.4)
02-13 10:09:34.529  2539  2874 E GlyphScraper:   RAWG candidate: 'All-Star Basketball - Score with Super Power-Ups' score=0.21250002 (required > 0.4)
02-13 10:09:34.529  2539  2874 E GlyphScraper:   RAWG candidate: 'Star Traders: Frontiers' score=0.14492756 (required > 0.4)
02-13 10:09:34.530  2539  2874 E GlyphScraper:   RAWG candidate: 'Baseball Riot' score=0.32545456 (required > 0.4)
02-13 10:09:34.530  2539  2874 E GlyphScraper:   RAWG candidate: 'Phantasy Star II' score=0.20303032 (required > 0.4)
02-13 10:09:34.530  2539  2874 E GlyphScraper:   RAWG candidate: 'Sentinel 4: Dark Star' score=0.13896105 (required > 0.4)
02-13 10:09:34.530  2539  2874 E GlyphScraper:   RAWG candidate: 'Star Traders: 4X Empires' score=0.15714288 (required > 0.4)
02-13 10:09:34.530  2539  2874 E GlyphScraper:   RAWG candidate: 'Agricola: All Creatures Big and Small' score=0.19039038 (required > 0.4)
02-13 10:09:34.530  2539  2874 E GlyphScraper:   RAWG candidate: 'Baseball Star' score=0.44545457 (required > 0.4)
02-13 10:09:34.558  2539  2879 E GlyphScraper:   RAWG candidate: 'Oswald A-R [fnaf A-R fnagame]' score=0.062068965 (required > 0.4)
02-13 10:09:34.559  2539  2879 E GlyphScraper:   RAWG candidate: 'T O W E R - 8 0' score=0.0 (required > 0.4)
02-13 10:09:34.559  2539  2879 E GlyphScraper:   RAWG candidate: 'Destroy W*s' score=0.13333333 (required > 0.4)
02-13 10:09:34.559  2539  2879 E GlyphScraper:   RAWG candidate: 'Project Highrise' score=0.31111112 (required > 0.4)
02-13 10:09:34.559  2539  2879 E GlyphScraper:   RAWG candidate: 'SimCity 3000' score=0.088888876 (required > 0.4)
02-13 10:09:34.559  2539  2879 E GlyphScraper:   RAWG candidate: 'Chess Opening Lab (1400-2000)' score=0.020689666 (required > 0.4)
02-13 10:09:34.560  2539  2879 E GlyphScraper:   RAWG candidate: 'House of 1,000 Doors: Family Secrets Collector's Edition' score=0.117857166 (required > 0.4)
02-13 10:09:34.560  2539  2879 E GlyphScraper:   RAWG candidate: 'R-726' score=0.02222221 (required > 0.4)
02-13 10:09:34.560  2539  2879 E GlyphScraper:   RAWG candidate: 'R-Survive' score=0.06666666 (required > 0.4)
02-13 10:09:34.560  2539  2879 E GlyphScraper:   RAWG candidate: 'R-Type' score=0.06666666 (required > 0.4)
02-13 10:09:34.562  2539  2852 E GlyphScraper:   RAWG candidate: 'Doodle Combat - Army Air Force Planes Battle' score=0.3 (required > 0.4)
02-13 10:09:34.562  2539  2852 E GlyphScraper:   RAWG candidate: 'Modern Combat 5' score=0.30105266 (required > 0.4)
02-13 10:09:34.562  2539  2852 E GlyphScraper:   RAWG candidate: 'Army Men Strike - Military Strategy Simulator' score=0.3 (required > 0.4)
02-13 10:09:34.562  2539  2852 E GlyphScraper:   RAWG candidate: 'Combat Monsters' score=0.17473686 (required > 0.4)
02-13 10:09:34.562  2539  2852 E GlyphScraper:   RAWG candidate: 'Real Air Combat War: Airfighters Game' score=0.24594593 (required > 0.4)
02-13 10:09:34.562  2539  2852 E GlyphScraper:   RAWG candidate: 'Army Men Strike' score=0.4757895 (required > 0.4)
02-13 10:09:34.563  2539  2852 E GlyphScraper:   RAWG candidate: 'Modern Combat Versus' score=0.15666667 (required > 0.4)
02-13 10:09:34.563  2539  2852 E GlyphScraper:   RAWG candidate: 'Arma Tactics' score=0.18947369 (required > 0.4)
02-13 10:09:34.563  2539  2852 E GlyphScraper:   RAWG candidate: 'air space combat' score=0.4757895 (required > 0.4)
02-13 10:09:34.563  2539  2852 E GlyphScraper:   RAWG candidate: 'X-Men Arcade' score=0.22105266 (required > 0.4)
02-13 10:09:34.570  2539  2874 D GlyphScraper:     RAWG match: 'Baseball Star' (screenshot, not box art)
02-13 10:09:34.570  2539  2874 E GlyphScraper:   rawg -> title='Baseball Star' hasImage=true
02-13 10:09:34.578  2539  2874 E GlyphScraper:   RAWG candidate: 'Sonic & SEGA All-Stars Racing' score=0.103448264 (required > 0.4)
02-13 10:09:34.578  2539  2874 E GlyphScraper:   RAWG candidate: 'Sonic & All-Stars Racing Transformed' score=0.16666669 (required > 0.4)
02-13 10:09:34.578  2539  2874 E GlyphScraper:   RAWG candidate: 'All-Star Basketball - Score with Super Power-Ups' score=0.21250002 (required > 0.4)
02-13 10:09:34.578  2539  2874 E GlyphScraper:   RAWG candidate: 'Star Traders: Frontiers' score=0.14492756 (required > 0.4)
02-13 10:09:34.579  2539  2874 E GlyphScraper:   RAWG candidate: 'Baseball Riot' score=0.32545456 (required > 0.4)
02-13 10:09:34.579  2539  2874 E GlyphScraper:   RAWG candidate: 'Phantasy Star II' score=0.20303032 (required > 0.4)
02-13 10:09:34.579  2539  2874 E GlyphScraper:   RAWG candidate: 'Sentinel 4: Dark Star' score=0.13896105 (required > 0.4)
